aar,1993-05-24,1.049,1.049,1.049,1.049,1907.000
abc,1993-05-24,1.664,1.682,1.682,1.664,72848.000
adx,1993-05-24,0.296,0.296,0.296,0.296,75695.000
ady,1993-05-24,1.626,1.626,1.626,1.626,21716.000
afi,1993-05-24,1.444,1.459,1.466,1.444,149191.000
aft,1993-05-24,0.118,0.114,0.121,0.114,687198.000
ajc,1993-05-24,2.986,2.986,2.986,2.986,770.000
ald,1993-05-24,2.280,2.250,2.280,2.250,48400.000
alk,1993-05-24,0.316,0.316,0.316,0.316,145121.000
amc,1993-05-24,5.444,5.375,5.444,5.368,956650.000
ann,1993-05-24,20.137,20.137,20.364,20.046,340557.000
anz,1993-05-24,3.459,3.382,3.478,3.382,1911032.000
apg,1993-05-24,0.249,0.249,0.249,0.249,76449.000
arg,1993-05-24,1.834,1.857,1.857,1.834,36944.000
aui,1993-05-24,1.570,1.570,1.570,1.570,24209.000
awc,1993-05-24,2.487,2.456,2.505,2.442,8273069.000
bd1,1993-05-24,3.186,3.027,3.186,3.027,10170.000
bel,1993-05-24,0.749,0.758,0.767,0.749,16819.000
bhp,1993-05-24,4.454,4.432,4.490,4.432,4245541.000
bkl,1993-05-24,4.120,4.120,4.120,4.120,500.000
bkw,1993-05-24,3.700,3.650,3.700,3.650,10000.000
boc,1993-05-24,0.520,0.520,0.520,0.520,10000.000
boq,1993-05-24,4.721,4.721,4.814,4.721,422356.000
bot,1993-05-24,1094.175,1094.175,1094.175,1094.175,2.000
bpt,1993-05-24,0.384,0.363,0.384,0.363,30160.000
bug,1993-05-24,5.111,5.111,5.111,5.111,471.000
caa,1993-05-24,9.148,8.835,9.148,8.835,1516.000
cba,1993-05-24,8.308,8.328,8.358,8.308,827402.000
ccl,1993-05-24,2.859,2.859,2.866,2.859,1155584.000
cim,1993-05-24,1.675,1.675,1.685,1.675,11981.000
cin,1993-05-24,2.384,2.384,2.384,2.384,484.000
cio,1993-05-24,322.521,322.521,322.521,322.521,35.000
cla,1993-05-24,26000.000,26000.000,26000.000,26000.000,1.000
csr,1993-05-24,3.086,3.051,3.093,3.044,1345670.000
ctm,1993-05-24,16.535,16.535,16.535,16.535,1442.000
cul,1993-05-24,4.617,4.617,4.617,4.617,1635.000
dse,1993-05-24,3333.429,3333.429,3333.429,3333.429,3.000
dui,1993-05-24,0.900,0.900,0.900,0.900,2244.000
dyl,1993-05-24,3.748,4.165,4.165,3.719,26960.000
ebg,1993-05-24,0.386,0.386,0.386,0.386,1711.000
egl,1993-05-24,0.431,0.431,0.431,0.431,2202.000
egy,1993-05-24,3.250,3.250,3.250,3.250,345.000
eld,1993-05-24,70.026,72.441,72.441,70.026,5334.000
emp,1993-05-24,14.658,14.658,14.658,14.658,109.000
eqt,1993-05-24,3.898,3.889,3.898,3.889,4250.000
era,1993-05-24,2.270,2.270,2.270,2.270,3223.000
erx,1993-05-24,0.325,0.298,0.325,0.298,44264.000
evt,1993-05-24,1.013,1.003,1.013,1.003,1525.000
ewc,1993-05-24,0.538,0.508,0.538,0.508,1025010.000
far,1993-05-24,0.219,0.219,0.219,0.219,22086.000
fmg,1993-05-24,0.021,0.021,0.021,0.021,626231.000
gme,1993-05-24,0.059,0.059,0.059,0.059,194958.000
gmr,1993-05-24,0.581,0.547,0.581,0.547,8490.000
gow,1993-05-24,1.797,1.779,1.797,1.779,38318.000
gpt,1993-05-24,7.863,7.929,7.995,7.830,202402.000
grr,1993-05-24,0.376,0.358,0.376,0.358,344314.000
gtg,1993-05-24,0.339,0.348,0.356,0.339,237055.000
gud,1993-05-24,2.680,2.680,2.680,2.680,1108.000
gul,1993-05-24,0.343,0.353,0.353,0.343,533333.000
haw,1993-05-24,30.684,30.684,30.684,30.684,2756.000
hil,1993-05-24,1.212,1.220,1.220,1.212,79500.000
hlx,1993-05-24,0.271,0.276,0.276,0.271,84371.000
hng,1993-05-24,0.720,0.720,0.720,0.720,6338.000
ht1,1993-05-24,7.494,7.589,7.637,7.494,76847.000
hwk,1993-05-24,6143.738,6143.738,6143.738,6143.738,2.000
ibc,1993-05-24,0.590,0.572,0.590,0.572,57611.000
ida,1993-05-24,0.017,0.017,0.017,0.017,2067079.000
ige,1993-05-24,65.385,65.385,65.385,57.212,283.000
ilu,1993-05-24,1.855,1.839,1.855,1.839,10530.000
imd,1993-05-24,0.180,0.180,0.180,0.180,715600.000
jrv,1993-05-24,2.056,2.056,2.056,2.056,4135.000
kai,1993-05-24,359.534,359.534,379.508,359.534,147.000
kcn,1993-05-24,0.132,0.149,0.149,0.132,352911.000
kfe,1993-05-24,6.902,6.902,6.902,6.902,430.000
knm,1993-05-24,34.063,33.649,34.240,33.354,56273.000
kov,1993-05-24,1.500,1.500,1.500,1.500,1200.000
krs,1993-05-24,2.533,2.467,2.533,2.467,15000.000
ktg,1993-05-24,0.155,0.155,0.155,0.155,200801.000
lce,1993-05-24,0.306,0.306,0.306,0.306,2286.000
lck,1993-05-24,0.709,0.660,0.714,0.660,376416.000
lex,1993-05-24,0.235,0.235,0.235,0.235,53697.000
lio,1993-05-24,46.629,46.629,46.629,46.629,193.000
llc,1993-05-24,3.694,3.638,3.694,3.638,448259.000
lmg,1993-05-24,0.180,0.180,0.180,0.180,62000.000
lny,1993-05-24,73.947,80.109,83.190,73.947,1399.000
lsa,1993-05-24,2550.828,2509.011,2592.645,2509.011,21.000
lyc,1993-05-24,5.366,5.557,6.132,5.366,12472.000
mah,1993-05-24,0.414,0.433,0.433,0.414,21142.000
man,1993-05-24,2.337,2.337,2.337,2.337,214.000
mcm,1993-05-24,210.000,210.000,225.000,210.000,319.000
mcp,1993-05-24,1.376,1.416,1.416,1.376,12180.000
mey,1993-05-24,36.122,36.122,36.122,36.122,397.000
mgl,1993-05-24,1990.350,1968.235,1990.350,1968.235,23.000
mgu,1993-05-24,0.060,0.055,0.060,0.055,71634.000
mld,1993-05-24,4.020,4.100,4.100,4.020,6300.000
mnd,1993-05-24,0.125,0.125,0.125,0.125,40000.000
mpo,1993-05-24,0.865,0.865,0.865,0.865,1041.000
mrc,1993-05-24,0.449,0.449,0.449,0.449,38496.000
mtb,1993-05-24,7.318,7.700,7.700,7.318,167120.000
nab,1993-05-24,9.562,9.553,9.711,9.544,2038138.000
ncm,1993-05-24,3.781,3.856,3.856,3.764,920009.000
ngy,1993-05-24,6.710,6.710,7.083,6.710,3487.000
ntl,1993-05-24,0.093,0.093,0.093,0.093,73162.000
nva,1993-05-24,0.279,0.265,0.279,0.265,34463.000
oda,1993-05-24,23.742,25.549,26.796,23.680,38385.000
oec,1993-05-24,25.200,25.000,25.200,24.000,7870.000
oeq,1993-05-24,1.313,1.313,1.313,1.313,7618.000
onx,1993-05-24,222.265,205.168,222.265,205.168,61.000
opt,1993-05-24,0.429,0.412,0.438,0.412,23974.000
org,1993-05-24,1.442,1.431,1.456,1.426,1638010.000
ori,1993-05-24,6.446,6.419,6.446,6.419,62824.000
osh,1993-05-24,0.682,0.682,0.692,0.682,57061.000
ovt,1993-05-24,3.670,3.650,3.670,3.650,189600.000
ozl,1993-05-24,1.939,1.939,1.939,1.939,990.000
pll,1993-05-24,3.914,3.958,3.958,3.914,5301.000
pmv,1993-05-24,0.800,0.800,0.800,0.800,2500.000
ppt,1993-05-24,4.600,4.550,4.600,4.550,10500.000
prx,1993-05-24,2.140,2.140,2.140,2.140,897.000
psa,1993-05-24,0.196,0.187,0.196,0.187,19675.000
qbe,1993-05-24,1.631,1.631,1.643,1.631,2303667.000
rdn,1993-05-24,1120.505,1120.505,1120.505,1120.505,9.000
ree,1993-05-24,11.809,11.809,11.873,11.809,16105.000
reh,1993-05-24,0.281,0.281,0.281,0.281,15269.000
rht,1993-05-24,4.819,4.714,4.819,4.714,1518.000
rio,1993-05-24,9.273,9.273,9.361,9.229,836231.000
rmi,1993-05-24,51.900,77.850,77.850,51.900,54.000
rnd,1993-05-24,0.187,0.187,0.187,0.187,83574.000
rpg,1993-05-24,0.080,0.080,0.080,0.080,2000.000
rrl,1993-05-24,6.243,6.243,6.243,6.087,577.000
rsg,1993-05-24,9.147,9.103,9.147,9.015,28973.000
sbm,1993-05-24,4.020,4.097,4.148,3.944,53285.000
sbr,1993-05-24,19.800,21.000,21.000,19.500,4914.000
sdi,1993-05-24,0.052,0.052,0.052,0.052,60000.000
sen,1993-05-24,1.919,1.998,1.998,1.919,43784.000
ser,1993-05-24,0.150,0.150,0.150,0.135,167487.000
sf1,1993-05-24,67.761,70.271,70.271,67.761,40.000
sfg,1993-05-24,0.579,0.570,0.579,0.560,48990.000
sgo,1993-05-24,9.564,9.564,9.564,8.368,6424.000
sgp,1993-05-24,3.042,3.061,3.061,3.023,573364.000
she,1993-05-24,6.733,6.733,6.733,6.733,16.000
shl,1993-05-24,0.330,0.340,0.340,0.330,62000.000
shv,1993-05-24,0.369,0.369,0.369,0.369,3127.000
si6,1993-05-24,37.161,35.461,37.161,35.127,18040.000
sih,1993-05-24,1.467,1.467,1.467,1.390,13470.000
sit,1993-05-24,0.341,0.341,0.341,0.341,51787.000
smc,1993-05-24,3.269,3.143,3.269,3.143,14318.000
snl,1993-05-24,0.156,0.156,0.156,0.156,13066.000
sol,1993-05-24,1.922,1.909,1.922,1.909,16133.000
sop,1993-05-24,316.112,316.112,316.112,316.112,12.000
sri,1993-05-24,3.000,3.120,3.120,3.000,12133.000
sto,1993-05-24,2.565,2.557,2.565,2.541,808343.000
sun,1993-05-24,2.130,2.114,2.130,2.114,165654.000
